,y1,y2,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55
y1,0.9999999999999999,0.08417341085704937,0.027508056844930236,0.01527707323401607,0.059347551512118346,0.02759153985952943,0.20415434654036455,-0.033088494443195435,-0.08667793967282218,0.06712637386745478,0.10103277807250971,0.012475627339288153,0.022204286608144233,0.016409518111835664,-0.006076277286558919,-0.01760074598400051,0.010781915954329506,0.024305109146235186,0.029323659500941242,-0.009153184356329003,0.009557204611577434,0.024139117049170992,0.03411744462222072,-0.013996211356645907,-0.01607641503795363,0.010781915954329535,0.09767015240058252,-0.07559568991476236,,0.3828783931311861,0.011222635117644073,-0.14358060790780044,-0.10683771462865867,-0.21318431314601904,,0.24226787262627658,-0.004794761990942303,0.09743954586746241,0.08586167051157131,0.02324266977443205,-0.2004847506718655,-0.10100756303598023,-0.029626166597796703,0.07902064698939083,0.039721623541770015,0.01712959185580342,0.11221648583820114,-0.16516425971513946,-0.025715917579172493,-0.06787393112933748,-0.29057392496827616,-0.33708806548490444,0.01576136883884755,-0.13526902901919202,-0.06305086194791588,0.12076307399291139,0.15890532174432798
y2,0.08417341085704935,1.0,-0.10352970417759871,0.013934135595664558,0.049186669284049134,0.0917979763302867,0.10303480146874566,0.08095070206174557,-0.23205033676945155,0.09535827276195269,0.17125041467990126,0.024935518111753853,0.0684208043228395,-0.10764384110214482,-0.10725727441319849,-0.00042952007262781383,0.028867296971677878,0.11330512800278669,0.005202140676729445,5.693456366484495e-05,-0.012675492452086184,-0.02462151829890898,0.03779960240415628,0.007829434942940501,0.09278524511191678,0.04689733755192308,0.05533609170312245,-0.05876310268745774,,0.2973048119330191,0.020700077151593776,-0.5282083699961628,0.010225211306850722,0.247780636914862,,0.04808418570479388,0.13496093008938326,0.04767653072443102,-0.09624140575746025,-0.10812903362414455,-0.045983200547895564,0.02637479139158813,0.004864840756109401,0.017731371203760022,0.002387191365442223,-0.011050445473363582,-0.007240718109438561,0.04621831655803169,-0.11756999908892429,-0.41242360541341455,0.003380661694708026,0.01751231338842505,-0.01140246693741505,-0.012451011562696051,-0.07312454377586326,0.047655426207858814,0.24820924008510403
X1,0.02750805684493024,-0.10352970417759871,1.0,-0.050463342586987744,0.058269925297801735,0.018025590820053363,0.037224815022513465,0.015684374077547657,0.06523735920146582,-0.027019668496938234,-0.028750945581846498,-0.062063395712752434,-0.01606041994604743,0.034432802588413566,-0.009344273400364042,0.08073182638550862,0.04424265169083403,0.008941212171590742,0.03317196247726144,-0.04337178748446596,0.012197092801815895,-0.03717514129887925,0.03437267223372032,0.021900511224090525,-0.0031239002002745276,0.014536108110129493,0.04622673860611965,-0.05184168199181657,,-0.0357401137448678,-0.01007135866509345,0.05354532167429926,0.05858180104415969,0.005113677596566359,,-0.02094413425401398,-0.019438753941084484,0.007439322386106837,0.09149896486824823,0.05383843132599029,-0.03601511083630664,-0.005281495512244182,0.005703420467068103,0.018879660319442486,-0.01778682009982508,-0.007988372547720312,0.023828405046362317,-0.018942372403337966,0.07120472257912291,0.03685695982297677,-0.0037076025200420432,0.039114542461914925,-0.05294320693283479,0.1407039167057388,0.005248205143317988,-0.0726646101046102,-0.0034758973869901135
X2,0.015277073234016073,0.01393413559566456,-0.050463342586987744,1.0,0.14610448531626546,0.08997398686574079,0.1810257767397521,0.12429466140502052,-0.20138601869601436,0.05631123273772236,0.013530688480945676,0.1604965951925255,-0.013458813847584947,-0.2448839440393707,-0.11498112308976749,-0.2587425322056852,-0.17124789037434893,-0.33182435381068676,-0.2315603802433301,0.13377088283710023,0.06719599708716538,0.4732581268370157,0.2753055029037853,-0.294502297753913,0.3944575535947518,-0.21934447522882108,0.25766595087786626,-0.023316462127472473,,-0.005409162435724732,-0.024850413780681528,0.018506343887422293,-0.02376493856744754,-0.09038247832169138,,-0.15243565992338612,0.20111399695803203,-0.10921775215716488,-0.14816149549557178,-0.15323858594016435,-0.20071784239054175,-0.08933594900754306,0.4441207154267583,0.028034437798279806,-0.013048636032299265,0.07621815414513233,-0.11674435638119295,0.111567411406825,-0.16157056900147249,-0.11108885757761996,0.04727074670001593,0.01793262664497354,0.071559975799333,-0.05499657692769058,-0.0663412751315341,0.038699127071983905,0.363223969050877
X3,0.05934755151211834,0.04918666928404914,0.058269925297801735,0.14610448531626544,1.0,-0.032150782021319595,0.10586278811674459,-0.026616220726769464,-0.047435327746625906,0.07032848569440836,0.05987606164426334,0.005061780504363036,-0.0046848626344905935,-0.027431380304427506,-0.020237196661711736,-0.012432372134926843,-0.009383825691208318,-0.01767657473714973,-0.010972122061773493,-0.011162762997212774,-0.02550553729618224,0.03994020303406939,0.0029358637955806195,-0.07951571287250196,0.0047693678211665905,-0.009383825691208304,0.33764951417184386,-0.0003060083015805422,,0.11116868318701885,-0.017644329761836035,-0.07434103971122676,-0.023225823032458476,-0.018004508353730013,,-0.035891946876802854,0.025039219194863634,-0.019994386255726995,-0.02940162244688178,-0.03580843864535389,-0.04656859539193338,-0.010496706821723505,0.16939597220178085,-0.020047495015733687,-0.01017536905495688,-0.0268034801743811,-0.02586026087271769,-0.03942674480132228,-0.03176705812166579,-0.05570150135826658,-0.03981785447071499,0.03690616661541555,-0.013827850909393796,0.017723766600146164,-0.018881741499424624,0.0024400266466991323,0.23348313281444893
X4,0.027591539859529432,0.0917979763302867,0.01802559082005336,0.08997398686574079,-0.032150782021319595,1.0,0.02579955509715695,0.025005936231555892,-0.08224490634293402,0.031381164254940946,0.06711322577662009,-0.02370987890538583,-0.0068695642748135615,-0.027747156597892272,-0.004016103840930116,-0.018229985835767824,0.06528492363129301,-0.031018007413887157,-0.025872446396311227,-0.016893829273318027,0.04236151893909022,0.034307960998008466,0.05593796066922691,-0.019473420541991956,0.04772675018173183,-0.013759804450789809,0.03609610895639904,-0.03514617961543741,,0.0815871655041205,0.019710573176699206,-0.046993581772896066,-0.03752332539191013,0.02028333200215759,,-0.006915206887308783,0.06934681590808364,0.00957656536410361,-0.021429870137008727,-0.02290216481844682,-0.058356483550502165,-0.01539165773075962,0.04773553891208769,-0.029396284652124537,-0.0018640410564859536,0.0469147067678318,0.009661120572473966,0.0012652950232820437,-0.021372730276715084,-0.047076570443415906,-0.06781335712064215,0.04797513855929163,0.032169842354292814,-0.037659616851859576,-0.027686902897808584,0.02508974635311857,0.15399808564998418
X5,0.20415434654036455,0.10303480146874566,0.037224815022513465,0.1810257767397521,0.10586278811674459,0.025799555097156954,1.0,0.03260079724435793,-0.1527400737230794,0.1403525157273159,0.1390531467534692,-0.016245992785831113,-0.08004679950377634,-0.13452958113444022,-0.12019858418261085,-0.0184089305923345,0.046652293892124476,-0.0008506712939932285,-0.005702150462592054,0.016243273097628026,0.050860405684339,0.08289963281150922,0.05849033557108069,-0.05570101005517877,0.11578151226414557,-0.013894870099223838,0.10098598471329628,-0.05718142790422837,,0.1587831425156586,0.01169629217996783,-0.17027887931897293,0.011894005640927826,-0.09847439077345277,,0.010070974511293468,0.0709351458722731,0.07427362826371453,-0.07758303844307742,-0.02532568223297723,-0.19877809727520945,-0.02814326171111499,0.12588298184856636,0.04184328034603443,0.03278061447294436,-0.04264742551957329,0.09772724222897508,0.07257433751753606,-0.02840463256334989,-0.2681977039537313,-0.03830056300901272,-0.07646606305606513,-0.02277120021875437,-0.07134126474040146,-0.0031675922328836866,0.08105471126750524,0.20535551491516355
X6,-0.03308849444319544,0.08095070206174557,0.015684374077547657,0.12429466140502053,-0.02661622072676946,0.025005936231555895,0.03260079724435794,1.0,-0.45564270839304005,-0.05178563582717025,-0.07794323379066072,-0.05680346630572179,-0.00847839869579591,-0.055408858636964105,-0.03828234558751876,0.025473736584589447,0.04638453347903074,0.018855483647583927,-0.03193170731188569,-0.006135338814585656,-0.012664505996055798,0.0593684128901282,-0.00016452353652363717,-0.09151331470398175,0.2001407752235602,-0.01698231553603854,-0.03729399225226868,0.002625470578436743,,0.04063336768655446,-0.03193170731188566,-0.0695006263855815,0.0013585887641304475,0.09355094480803758,,-0.057237292624871615,-0.012019134139452785,-0.03332438527184012,-0.03708688653976491,-0.0729535255358444,-0.0013252574566972317,-0.018996344689438074,0.2189267298842043,0.1743043682813322,-0.10266994321820706,-0.05325996071535871,0.011928568493425062,-0.009956421830351342,0.0010140744392458912,-0.06318306977142402,0.024123809430118753,-0.02768985300768032,-0.057490220132631165,0.022302494530051467,-0.034171104895263,0.008564511378790664,0.06053170493539989
X7,-0.08667793967282218,-0.23205033676945153,0.06523735920146582,-0.20138601869601438,-0.047435327746625906,-0.08224490634293403,-0.1527400737230794,-0.45564270839304,1.0,-0.32857958642910035,-0.49454940766498856,-0.3604176943730939,-0.053795395046283744,0.06390168690694407,0.06767236227517107,0.021931188439995235,-0.035240789674374676,-0.03040352508014938,0.031125284596101827,-0.0033083564937898503,-0.011548872794650101,-0.07148759017009335,-0.0780368663552432,0.09910694155572249,-0.16274849838164476,0.03727112323586124,-0.11929567342597042,0.04356346425490099,,-0.1478467429943471,0.011647634661119483,0.1510815017638892,0.033452452734936994,-0.0307204815663372,,0.06709326996505273,-0.06655645268940139,-0.10611487316026019,0.10210462148332874,0.13302425472465712,0.07613811331993582,0.04169131720868397,-0.19161526297892853,-0.14413849779993693,0.03353645963934731,0.03310639351238231,0.040425272505153785,0.02906085784663644,0.05922630806360279,0.12780627495317673,0.019999788934108954,-0.003871375676688332,-0.0188792225402443,0.026652849514856098,0.020280855846574825,-0.014800428688799458,-0.14228658045740733
X8,0.06712637386745478,0.09535827276195269,-0.02701966849693823,0.05631123273772236,0.07032848569440836,0.031381164254940946,0.1403525157273159,-0.05178563582717025,-0.3285795864291004,1.0,-0.056207539486816754,-0.04096292801941068,-0.00611406412465301,-0.012885935507920684,0.010735943773347363,-0.016225090549054494,-0.012246530258587303,-0.027606712560035683,-0.02302704946056959,0.022984969520979167,0.016525800097510507,0.019308986480959005,-0.02384735669681467,-0.04202617306147876,0.012624358982742978,-0.01224653025858731,0.05174338277917926,0.02154094502470058,,0.08538086809203456,-0.023027049460569604,-0.09030025202726158,-0.03339658942525655,0.02895019981049462,,-0.027784175036417738,0.12792075580794304,0.0165258000975105,-0.040962928019410656,-0.05260928970783621,-0.04910448845006091,-0.013698915766113784,-0.03016141229393766,0.014212186558777443,0.13483805538454902,-0.03840758458925435,-0.0197039553564443,-0.014532623200461838,-0.04145816976095037,-0.07861641972419625,-0.005286013304526423,0.0022043732676277367,-0.015285082790653324,-0.0626109432328913,-0.024641955873516717,0.07004795947933996,0.10150671452697498
X9,0.10103277807250972,0.17125041467990126,-0.028750945581846498,0.013530688480945676,0.05987606164426334,0.06711322577662009,0.1390531467534692,-0.07794323379066072,-0.4945494076649886,-0.056207539486816754,1.0,-0.06165383555437134,-0.009202357407937714,-0.022529047165537303,-0.04155122201144166,-0.024420594740985707,0.04064583141179835,0.09162577161497415,0.028818449519368395,-0.013415498409962597,-0.0008089888411485736,0.006911134497372378,0.025462531878041653,-0.002167256374911926,-0.01828519032287606,-0.018432411919303865,0.15071539986102853,-0.06456600553616164,,0.16600868771437122,0.02881844951936846,-0.11742208098816219,-0.028043872189104646,-0.02929176505055376,,0.018771976435387576,0.019785588059340213,0.2495923191333796,-0.04327165441114789,-0.07918292595544496,-0.027473158790892484,-0.020618416230327768,0.02509486775095286,-0.0393787883790726,0.033663196179169054,-0.05780775493354418,0.001710962272738845,-0.10172339966340636,-0.007854448574090091,-0.05422768135349726,-0.06150636607049638,0.06434816452068254,0.02850873926891911,-0.08151906229787532,0.022348456721043214,0.04624530419749432,0.07629718240905495
X10,0.012475627339288153,0.024935518111753853,-0.062063395712752434,0.1604965951925255,0.005061780504363036,-0.02370987890538583,-0.016245992785831113,-0.05680346630572179,-0.3604176943730939,-0.04096292801941068,-0.06165383555437133,1.0,-0.006706493604806382,-0.018968505259931847,-0.03028169764969786,-0.01779723990232344,-0.013433172303364533,-0.030281697649697865,-0.025258282673578426,-0.012566772620329712,-0.017238698524561953,0.04333000429798567,0.1766176971582649,-0.06248346318853375,0.061496012290019594,-0.013433172303364506,0.07882286837710148,-0.009951920939203175,,-0.06168132259380183,0.016698997515089995,0.03946193416958622,0.02212056246158707,-0.03727803563313235,,-0.06809848930147541,-0.03223066204943523,-0.042702064144299265,-0.04493207941483813,-0.018807752087503436,-0.02494913911508399,-0.015026288423731085,0.13059147403845137,0.11961404299485609,-0.05170239645582589,0.035219336365495756,-0.04862968522406325,0.05694571518051762,-0.04547530819110765,-0.015619859179071724,0.058251762288238335,-0.02814280772224077,0.07470256757820447,0.08263180380175211,-0.027029667354861064,-0.09492160664767213,-0.018061905915574862
X11,0.02220428660814423,0.0684208043228395,-0.01606041994604743,-0.013458813847584947,-0.0046848626344905935,-0.0068695642748135615,-0.08004679950377634,-0.00847839869579591,-0.053795395046283744,-0.006114064124653011,-0.009202357407937716,-0.006706493604806382,1.0,-0.006541839438080052,-0.004519799979773815,-0.002656388868322036,-0.002005014798291888,-0.004519799979773814,-0.003770012726426509,-0.005935648177738503,-0.006373644928643247,-0.013705338096864216,-0.00390431428883548,0.04570019979549053,-0.00847839869579591,-0.0020050147982919055,-0.004403110176259507,-0.016066105781274365,,0.03519055043849891,-0.003770012726426507,-0.022254518069063776,-0.0054677247021183515,-0.005564062710411503,,-0.012337988437244238,-0.011627940006057491,-0.006373644928643245,-0.006706493604806382,-0.008613248174344909,-0.010894352646292241,-0.002242800879241097,-0.012605850190420865,-0.004283490070887391,-0.012121713028794326,-0.006288130094163116,-0.007258392605155677,-0.01851011895419171,-0.006787575102957468,-0.01287116281978819,-0.011683327287213038,-0.007484800018211728,0.14747549541880473,-0.010250729395694323,-0.004034406900731124,-0.0722246254455105,-0.018071705328581635
X12,0.016409518111835664,-0.10764384110214484,0.034432802588413566,-0.2448839440393707,-0.027431380304427506,-0.027747156597892276,-0.13452958113444022,-0.055408858636964105,0.06390168690694409,-0.012885935507920684,-0.022529047165537303,-0.018968505259931843,-0.006541839438080052,1.0,-0.029538237954157803,-0.01736029179220427,-0.01310336839651865,-0.02953823795415779,-0.024638155117864845,-0.038791227282357885,-0.04165366639675855,-0.08956846315301273,-0.02551585579617016,-0.143146845470149,-0.055408858636964126,-0.013103368396518666,-0.028775635361465,-0.10499678253189094,,-0.0641771275975962,-0.024638155117864817,0.04746542704571532,0.05442627409394023,0.08189022089920793,,0.08325461892814072,-0.04484138293502214,-0.015603843759636193,0.08047319990353727,0.003402479306773468,0.02709646154672591,0.05684200050862175,-0.08238298247829792,-0.02799388237407718,-0.0037435808894873634,-0.014718163825043477,0.045121816456988276,-0.005264558283894443,0.004819473038308202,0.14705283394438395,-0.06083491085283416,-0.04891539558533433,-0.04435882327096034,-0.015393440987827741,0.0138260992488119,0.02196828638623852,-0.10639427856085715
X13,-0.006076277286558919,-0.10725727441319849,-0.009344273400364042,-0.11498112308976748,-0.020237196661711736,-0.004016103840930116,-0.12019858418261085,-0.03828234558751876,0.06767236227517105,0.010735943773347363,-0.04155122201144165,-0.03028169764969786,-0.004519799979773816,-0.029538237954157803,0.9999999999999998,-0.011994340006959963,-0.0090532035789211,-0.020408163265306214,-0.017022663741204886,-0.02680111457117317,-0.028778792619347415,-0.061883441466146764,-0.017629072924065597,-0.09890109890109867,-0.03828234558751881,-0.009053203578921117,-0.019881276108314166,-0.07254296900066308,,-0.04223796320418931,0.1653630192002761,0.06648428752941599,-0.02468830897604542,-0.025123302075452054,,-0.013505327187689055,-0.030443151981863755,-0.028778792619347394,0.004929578687160055,0.017472870894540273,0.11323223883414653,0.0911418692153575,-0.036145607735333096,-0.019341157817422513,0.030787273453537004,-0.028392669182141377,1.7283392746904043e-17,-0.01802670795361596,-0.03064780333124751,0.10559268904043398,-0.00879224935566661,0.02997001039776988,-0.030647803331247538,0.026796529892469424,0.09563650695950081,-0.034593782311415376,-0.08159881288522275
X14,-0.01760074598400051,-0.00042952007262781383,0.08073182638550862,-0.2587425322056852,-0.012432372134926841,-0.018229985835767824,-0.0184089305923345,0.025473736584589447,0.021931188439995235,-0.016225090549054494,-0.024420594740985707,-0.01779723990232344,-0.002656388868322036,-0.01736029179220427,-0.011994340006959965,1.0,-0.005320772892012532,-0.011994340006959965,-0.010004605220071856,-0.015751622355874864,-0.016913948559645977,-0.036370300849542854,-0.010361005638278019,-0.05812641695680596,-0.022499401992791632,-0.0053207728920125295,-0.011684676485353112,-0.042635146730107126,,-0.05136126243793197,-0.010004605220071863,0.06838643628960234,0.056967356003380064,-0.01476553393233625,,-0.03274172064703929,-0.030857442063213905,0.04504190697019251,0.10045684582740023,0.11911328042238488,0.01005250666401993,-0.005951793538189436,-0.03345255408144773,-0.01136723672653141,-0.032167783571128504,-0.016687015065911158,-0.019261832204928334,0.0609539507372822,0.04046943729595856,0.00020617679772562457,-0.03100442509016507,-0.019862656910544188,-0.018012408507449732,-0.027202693535444977,0.08488516183471834,-0.028490277608933617,-0.04795747138957384
X15,0.010781915954329507,0.028867296971677874,0.04424265169083403,-0.17124789037434893,-0.009383825691208316,0.06528492363129301,0.046652293892124476,0.04638453347903074,-0.035240789674374676,-0.012246530258587305,0.04064583141179835,-0.013433172303364535,-0.002005014798291888,-0.01310336839651865,-0.009053203578921098,-0.005320772892012532,0.9999999999999998,-0.0090532035789211,-0.007551372374927683,-0.011889161371386216,-0.012766473148586688,-0.027451926294106525,-0.007820379718371375,-0.04387321734400216,-0.01698231553603854,-0.004016064257028104,-0.008819472760848122,-0.03218056706253592,,0.03862127684429688,-0.007551372374927682,-0.044576017419270336,0.08346107730573098,-0.011144872044926136,,-0.024713111548431033,-0.023290877594009676,0.15090625952560233,0.06466666666968493,-0.017252420360871292,-0.02182149493535273,-0.004492352103547956,-0.025249641260667678,-0.008579872519485205,0.023141789017999525,-0.012595186098489395,-0.014538631400564501,-0.037075949358876405,0.21814725027771723,-0.025781065052974828,-0.02340181886004546,-0.014992127663971158,-0.013595579337421448,-0.020532311267521107,-0.00808095649275847,0.02776081960860496,-0.03619780257756237
X16,0.024305109146235186,0.11330512800278668,0.008941212171590742,-0.33182435381068676,-0.01767657473714973,-0.031018007413887157,-0.0008506712939932284,0.018855483647583927,-0.03040352508014938,-0.027606712560035683,0.09162577161497415,-0.030281697649697868,-0.004519799979773814,-0.029538237954157793,-0.020408163265306214,-0.011994340006959963,-0.0090532035789211,1.0,-0.017022663741204886,-0.02680111457117321,-0.028778792619347397,-0.06188344146614685,-0.017629072924065556,-0.09890109890109867,-0.038282345587518765,-0.00905320357892112,-0.019881276108314125,-0.0725429690006631,,0.08706192415557334,-0.01702266374120488,-0.10048538434811279,-0.02468830897604542,0.05862103817605538,,-0.03460740091845294,-0.05250340704118546,0.11880475927474211,-0.030281697649697858,0.04565492072444361,0.1364355664640945,-0.010126874357261928,-0.03614560773533307,-0.019341157817422513,-0.03335287957466501,0.008966106057518238,2.7289567495111644e-17,-0.03441462427508493,0.03900629514886045,-0.05811690637109169,-0.03077287274483307,-0.03379596917195328,0.03900629514886051,-0.021924433548383877,0.038710014721702685,-0.01515907314769887,-0.0815988128852227
